# Итог проверки quality gate
QUALITY_GATE: PASS
# PASS = можно выпускать | FAIL = есть блокирующие проблемы
enforce: true
# true = quality gate реально валит сборку
supplier: comportal
# Поставщик, для которого построен отчёт
report_file: /home/runner/work/cs-satu/cs-satu/docs/raw/comportal_quality_gate.txt
# Куда записан этот отчёт
baseline_file: /home/runner/work/cs-satu/cs-satu/scripts/suppliers/comportal/config/quality_gate_baseline.yml
# Базовый файл для сравнения известных cosmetic-проблем
freeze_current_as_baseline: no
# yes = текущие cosmetic-хвосты сохранены как baseline-снимок
critical_count: 0
# Сколько найдено критичных проблем
cosmetic_total_count: 131
# Общее число некритичных проблем
cosmetic_offer_count: 131
# В скольких товарах есть cosmetic-проблемы
known_cosmetic_count: 129
# Сколько cosmetic-проблем уже известны по baseline
known_cosmetic_offer_count: 129
# В скольких товарах есть уже известные cosmetic-проблемы
new_cosmetic_count: 2
# Сколько найдено новых cosmetic-проблем
new_cosmetic_offer_count: 2
# В скольких товарах появились новые cosmetic-проблемы
max_cosmetic_offers: 5
# Допустимый максимум товаров с cosmetic-проблемами
max_cosmetic_issues: 5
# Допустимый максимум cosmetic-проблем всего

CRITICAL:
# Ошибок в этой секции нет

COSMETIC TOTAL:
CP13873341 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873342 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873343 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873344 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873345 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873346 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873349 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873350 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873353 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873354 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873355 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873356 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873357 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873361 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873362 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873373 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873405 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873424 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873439 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo

NEW COSMETIC:
CP13760984 | duplicate_brand_in_name | Требует ручной проверки | Картридж HP HP 47 (6ZD21AE#BHK) (оригинал)
CP13760985 | duplicate_brand_in_name | Требует ручной проверки | Картридж HP HP 47 (6ZD61AE#BHK) (оригинал)

KNOWN COSMETIC:
CP10420608 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP10532957 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP10782666 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP10782667 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP10782668 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13837247 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13850386 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13870174 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13870401 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872560 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872561 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872562 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872563 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872564 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872565 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872566 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872567 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872581 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872591 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872599 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872617 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872623 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872628 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872652 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872662 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872686 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872763 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872771 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872772 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872773 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872774 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872827 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872829 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872831 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872879 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872917 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872947 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872965 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872989 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872990 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872991 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872992 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872993 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872994 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872995 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872996 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872997 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872998 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13872999 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873000 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873001 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873002 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873003 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873004 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873005 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873006 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873013 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873016 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
CP13873017 | placeholder_picture | Требует ручной проверки | https://placehold.co/800x800/png?text=No+Photo
